Testimonials,Referencje
"Add New Testimonial","Dodaj nowe referencje"
"Save Testimonial","Zapisz referencje"
"Delete Testimonial","Usuń referencje"
"Edit Testimonial '%1'","Edytuj referencje '%1'"
"New Testimonial","Nowe referencje"
"Testimonial Information","Informacje referencje"
Facebook,Facebook
Twitter,Twitter
"No rating","Brak oceny"
star,Gwiazdkowy
stars,Gwiazdy
"Profile Image","Obraz profilu"
"Display in widget","Wyświetlanie w widżecie"
"Created date","Data utworzenia"
"Submit Your Testimonial","Prześlij swoje referencje"
"Please select item(s).","Wybierz przedmiot(-y)."
"Testimonial was deleted.","Referencje zostały usunięte."
"Can't find a testimonial to delete.","Nie można znaleźć referencje do usunięcia."
"Manage Testimonials","Zarządzanie referencjami"
"This testimonial no longer exists.","To referencje już nie istnieje."
"Edit Testimonial","Edytuj referencje"
"Testimonial has been saved.","Referencje zostały zapisane."
"Something went wrong while saving the testimonial.","Coś poszło nie tak podczas zapisywania referencje."
"Awaiting approval","Oczekiwanie na zatwierdzenie"
"Submit your testimonial","Prześlij swoje referencje"
"Profile image","Obraz profilu"
"Back to testimonials","Powrót do referencji"
"Find us on","Znajdź nas na"
"Placed on","Umieszczone na"
"No testimonials found.","Nie znaleziono referencji."
"Show more testimonials","Pokaż więcej referencji"
"Read more","Czytaj więcej"
"Read less","Czytaj mniej"
"View all testimonials","Zobacz wszystkie referencje"
"Store Review","Recenzja sklepu"
"out of",z
votes,Głosów
"Testimonial data:","Dane referencje:"
"User Name:","Nazwa użytkownika:"
"User Email:","Adres e-mail użytkownika:"
"Store View:","Widok sklepu:"
Message:,Komunikat:
Company:,Firmy:
Website:,"Stronie internetowej:"
Facebook:,Facebook:
Twitter:,Twitter:
Rating:,Oceną:
"Has image:","Posiada obraz:"
Status:,Stan:
"Automatically approve testimonials","Automatyczne zatwierdzanie referencji"
"Add link to top links","Dodawanie łącza do linków najpopularniejszych"
"Add link to footer links","Dodawanie łącza do łączy stopki"
"Testimonials List","Lista referencji"
"Testimonials list layout","Układ listy referencji"
"Testimonials per page","Referencje na stronie"
"Image width","Szerokość obrazu"
"Image height","Wysokość obrazu"
"Image placeholder","Symbol zastępczy obrazu"
"Allowed file types:PNG, GIF, JPG, JPEG, SVG.","Dozwolone typy plików:PNG, GIF, JPG, JPEG, SVG."
"Show user email in testimonials list","Pokaż poświadczeń e-mail użytkownika na liście referencji"
"Testimonials Submit Form","Referencje Prześlij formularz"
"Testimonials form layout","Układ formularzy Referencje"
"Enable company field","Włącz pole firmy"
"Enable website field","Włącz pole witryny sieci Web"
"Enable twitter field","Włącz pole twitter"
"Enable facebook field","Włącz pole facebook"
"Message shown after testimonial sent","Wiadomość wyświetlana po wysłaniu referencji"
"Administrator Email Notifications","Powiadomienia e-mail administratora"
"Email notification for admin on new testimonial","Powiadomienie e-mail dla administratora o nowej referencji"
"Send email from","Wyślij wiadomość e-mail z"
"Administrator email","Wiadomość e-mail administratora"
"Administrator email subject","Temat wiadomości e-mail administratora"
"Administrator email template","Szablon wiadomości e-mail administratora"
"Testimonials: List of testimonials (for side panel)","Referencje: Lista referencji (dla panelu bocznego)"
"Hide block title and link","Ukryj tytuł i łącze bloku"
"Number of testimonials","Liczba referencji"
"Show next testimonial after, ms","Pokaż następne referencje po, ms"
"Change animation duration, ms","Zmienianie czasu trwania animacji, ms"
"Testimonials: Review block (for side panel)","Referencje: Blok recenzji (dla panelu bocznego)"
"Testimonials: Submit Form","Referencje: Prześlij formularz"
"Testimonials: Full testimonials list","Referencje: Pełna lista referencji"
"Delete items","Usuwanie elementów"
"Enable items","Włączanie elementów"
"Disable items","Wyłączanie elementów"
"Created Date","Data utworzenia"
"What Clients Say","Co mówią klienci"
